sent_id,src_text,tgt_text,term_src,term_tgt,type,note
17,紀元前210年、秦の始皇帝が病気で亡くなりました、,公元前210年，秦始皇因病逝世。,紀元前210年,公元前210年,term,
17,紀元前210年、秦の始皇帝が病気で亡くなりました、,公元前210年，秦始皇因病逝世。,病気で亡くなりました,因病逝世,term,需人工确认
20,ついに1974年3月地元の農家の人が灌漑水を取るために、,终于在1974年3月，当地农民为了抗旱取水，,1974年3月,1974年3月,term,
20,ついに1974年3月地元の農家の人が灌漑水を取るために、,终于在1974年3月，当地农民为了抗旱取水，,農家の人,当地农民,term,
20,ついに1974年3月地元の農家の人が灌漑水を取るために、,终于在1974年3月，当地农民为了抗旱取水，,灌漑水,抗旱取水,term,需人工确认
22,あそこですね、皆さんご覧ください、あの看板、,在那边大家先看，那个指示牌，,看板,指示牌,term,
23,ちょっと井を掘ったところ、一番って一番を表示してますね、,这是发现秦俑的井址，用一号来表示，,秦俑,秦俑,cul,
23,ちょっと井を掘ったところ、一番って一番を表示してますね、,这是发现秦俑的井址，用一号来表示，,井址,井址,term,
23,ちょっと井を掘ったところ、一番って一番を表示してますね、,这是发现秦俑的井址，用一号来表示，,一号,一号,term,
25,上にかぶせる土を掘りだしたら、こういう形になります。,大家看，挖掉覆盖在上面的粘土，就是这样一个状况。,上にかぶせる土,覆盖在上面的粘土,term,
25,上にかぶせる土を掘りだしたら、こういう形になります。,大家看，挖掉覆盖在上面的粘土，就是这样一个状况。,掘りだしたら,挖掉,term,需人工确认
25,上にかぶせる土を掘りだしたら、こういう形になります。,大家看，挖掉覆盖在上面的粘土，就是这样一个状况。,こういう形になります,这样一个状况,term,需人工确认
26,皆さんご覧ください、 これは発掘現場、,大家请看那边，这里是发掘现场，,発掘現場,发掘现场,term,
27,こういうところからけわらを掘り出して、,从这里把破碎的头咽残片挖掘出来之后，,破碎的头咽残片,けわら,term,
28,一番奥、兵馬俑の修復現場があります、,最后面是兵马俑的修复现场，,修復現場,修复现场,term,
29,あそこで修復をしてからまた前の場所を戻ります。,再进行对接粘连，修复完成之后再放回原位。,前の場所,原位,term,需人工确认
30,だから、皆さん一番最初ご覧になった整然に立ち並んでいるものが全部を修復したものです。,所以说大家最初看到的，整齐划一站立的兵马俑，都是修复过的。,整然に立ち並んでいる,整齐划一站立的,term,
30,だから、皆さん一番最初ご覧になった整然に立ち並んでいるものが全部を修復したものです。,所以说大家最初看到的，整齐划一站立的兵马俑，都是修复过的。,修復したもの,修复过的,term,
31,一号館の中、数が多いだけど、みんな位が低い、ほとんど歩兵。,一号坑中虽然数量很多，但是地位最低，基本上都是步兵。,一号館,一号坑,term,
31,一号館の中、数が多いだけど、みんな位が低い、ほとんど歩兵。,一号坑中虽然数量很多，但是地位最低，基本上都是步兵。,歩兵,步兵,term,
33,皆さん、どうぞ 入りましょう、はぶれないように気をつけてください、人が多いから。,那和我一起进去吧，请大家跟紧我，人比较多不要走丢了。,入りましょう,进去吧,term,
33,皆さん、どうぞ 入りましょう、はぶれないように気をつけてください、人が多いから。,那和我一起进去吧，请大家跟紧我，人比较多不要走丢了。,気をつけてください,请大家注意,term,需人工确认
33,皆さん、どうぞ 入りましょう、はぶれないように気をつけてください、人が多いから。,那和我一起进去吧，请大家跟紧我，人比较多不要走丢了。,人が多いから,人比较多,term,
34,今まで一番完璧に掘り出した兵馬俑はこれです、,截止目前兵马俑博物馆出土的最完整的一个兵马俑，,完璧に掘り出した,最完整的,term,需人工确认
35,膝を跪いて矢を射る準備している兵馬俑です。,它单膝跪地应该是在射箭前做准备的一个状态。,矢を射る準備,射箭前做准备,term,
36,この兵馬俑は将軍俑です、,这个兵马俑是将军俑，,将軍俑,将军俑,cul,
37,高級軍吏俑、一番位が高い兵馬俑、,高级军吏俑，地位最高的兵马俑。,高級軍吏俑,高级军吏俑,cul,
37,高級軍吏俑、一番位が高い兵馬俑、,高级军吏俑，地位最高的兵马俑。,一番位が高い兵馬俑,地位最高的兵马俑,cul,
38,身長は192センチ、体重は160キロ。,高192厘米，重160千克。,身長,身高,term,
38,身長は192センチ、体重は160キロ。,高192厘米，重160千克。,体重,体重,term,
38,身長は192センチ、体重は160キロ。,高192厘米，重160千克。,センチ,厘米,term,
39,このワンセットは騎馬俑です、,这一组是骑马俑，,騎馬俑,骑马俑,cul,
40,この兵馬俑は一番若い兵馬俑と言われました、,这个被称为最年轻的兵马俑，,一番若い,最年轻的,term,
41,立って矢を射る兵馬俑です、立射俑と言います。,站立射箭的兵马俑，被称为立射俑。,立射俑,立射俑,cul,
42,秦の始皇帝陵の敷地面積は約56.26平方キロメートル。,秦始皇陵园，占地面积大约56.26平方千米。,秦の始皇帝陵,秦始皇陵园,tour,
42,秦の始皇帝陵の敷地面積は約56.26平方キロメートル。,秦始皇陵园，占地面积大约56.26平方千米。,敷地面積,占地面积,term,
42,秦の始皇帝陵の敷地面積は約56.26平方キロメートル。,秦始皇陵园，占地面积大约56.26平方千米。,56.26平方キロメートル,56.26平方千米,term,
43,今日は皆さんに紹介したのは本当は氷山の一角です、,今天给大家介绍的只是冰山一角，,氷山の一角,冰山一角,term,
44,またたくさんのものたくさんの文物や遺跡など出てくるでしょう。,今后还有更多的遗址，更多的文物，不断的出土。,文物,文物,cul,
46,いつか時間あればぜひ西安にいらしてください、兵馬俑にいらしてください,大家以后如果有机会，一定来西安，来兵马俑博物馆参观。,西安,西安,tour,
47,中国四大美人のひとり楊貴妃、ここでお風呂入ったことあります、,中国四大美女之一的杨贵妃，曾在此沐浴，,中国四大美人,中国四大美女,cul,
47,中国四大美人のひとり楊貴妃、ここでお風呂入ったことあります、,中国四大美女之一的杨贵妃，曾在此沐浴，,楊貴妃,杨贵妃,cul,
47,中国四大美人のひとり楊貴妃、ここでお風呂入ったことあります、,中国四大美女之一的杨贵妃，曾在此沐浴，,お風呂入ったことあります,曾在此沐浴,term,需人工确认
48,ここは華清池です。,这里是华清池。,華清池,华清池,tour,
49,華清池の温泉と風景美しいですから、有名な観光地です、,华清池温泉景色秀美，成为西安有名的旅游圣地，,観光地,旅游圣地,tour,
49,華清池の温泉と風景美しいですから、有名な観光地です、,华清池温泉景色秀美，成为西安有名的旅游圣地，,温泉,温泉,term,
50,中国歴代皇帝様、偉い方みんなここでお風呂入ったことあります。,中国历代皇帝都曾在这里沐浴。,中国歴代皇帝,中国历代皇帝,cul,
51,ここの温泉が最も古い、階級も高いです。,这里的温泉历史悠久，等级也最高。,歴史悠久,历史悠久,term,
51,ここの温泉が最も古い、階級も高いです。,这里的温泉历史悠久，等级也最高。,階級も高い,等级也最高,term,需人工确认
52,驪山の海抜は1200メートル、遠くから見ると一匹黒い馬のような見えます、,骊山的海拔在1200米左右，从远处看像一匹黑色骏马，,海抜,海拔,term,
52,驪山の海抜は1200メートル、遠くから見ると一匹黒い馬のような見えます、,骊山的海拔在1200米左右，从远处看像一匹黑色骏马，,黒い馬,黑色骏马,cul,需人工确认
53,昔黒い馬は「驪」といたので驪山と呼ばれるようになりました。,古代黑色骏马称之为骊，所以这座山叫骊山。,驪山,骊山,tour,
54,驪山の麓の温泉は3000年前からも発見されました、,骊山脚下的温泉，三千多年前周朝时就被发现了，,驪山の麓の温泉,骊山脚下的温泉,tour,
54,驪山の麓の温泉は3000年前からも発見されました、,骊山脚下的温泉，三千多年前周朝时就被发现了，,3000年前,三千多年前,term,
54,驪山の麓の温泉は3000年前からも発見されました、,骊山脚下的温泉，三千多年前周朝时就被发现了，,周朝,周朝,cul,
55,だから歴代の王朝、周の幽王、秦の始皇帝、有名な玄宗皇帝もここで離宮や浴槽など作られたことがありました。,所以历代帝王，比如周幽王，秦始皇，包括最有名的唐玄宗，都在此建造行宫和温泉池。,周の幽王,周幽王,cul,
55,だから歴代の王朝、周の幽王、秦の始皇帝、有名な玄宗皇帝もここで離宮や浴槽など作られたことがありました。,所以历代帝王，比如周幽王，秦始皇，包括最有名的唐玄宗，都在此建造行宫和温泉池。,玄宗皇帝,唐玄宗,cul,
55,だから歴代の王朝、周の幽王、秦の始皇帝、有名な玄宗皇帝もここで離宮や浴槽など作られたことがありました。,所以历代帝王，比如周幽王，秦始皇，包括最有名的唐玄宗，都在此建造行宫和温泉池。,離宮,行宫,term,
55,だから歴代の王朝、周の幽王、秦の始皇帝、有名な玄宗皇帝もここで離宮や浴槽など作られたことがありました。,所以历代帝王，比如周幽王，秦始皇，包括最有名的唐玄宗，都在此建造行宫和温泉池。,浴槽,温泉池,term,
57,唐の時代有名な詩人白居易歌った《長恨歌》によって、,像唐代诗人白居易 《长恨歌》中所写的那样，,唐の時代,唐代,cul,
57,唐の時代有名な詩人白居易歌った《長恨歌》によって、,像唐代诗人白居易 《长恨歌》中所写的那样，,詩人白居易,诗人白居易,cul,
57,唐の時代有名な詩人白居易歌った《長恨歌》によって、,像唐代诗人白居易 《长恨歌》中所写的那样，,長恨歌,长恨歌,cul,
58,願わくは天に在りては比翼の鳥となり、願わくは地にありては連理の枝と為らん、,在天愿做比翼鸟，在地愿为连礼枝，,比翼の鳥,比翼鸟,cul,
58,願わくは天に在りては比翼の鳥となり、願わくは地にありては連理の枝と為らん、,在天愿做比翼鸟，在地愿为连礼枝，,連理の枝,连礼枝,cul,
59,と永遠のここで誓いを結んだ場所です。,唐玄宗和杨贵妃，在黎山脚下的华清池，发下了这样的爱情誓言。,唐玄宗,唐玄宗,cul,
60,ザクロの木、この季節は今ザクロになっていますよね、,石榴树，这个季节石榴成熟了，,ザクロの木,石榴树,term,
60,ザクロの木、この季節は今ザクロになっていますよね、,石榴树，这个季节石榴成熟了，,この季節,这个季节,term,
60,ザクロの木、この季節は今ザクロになっていますよね、,石榴树，这个季节石榴成熟了，,ザクロになっています,石榴成熟了,term,需人工确认
64,資料によって楊貴妃の身長は164センチ、体重は69キロ、,据史料记载，这位中国有名的美女，身高164厘米，体重可是有69公斤呢，,身長164センチ,身高164厘米,term,
64,資料によって楊貴妃の身長は164センチ、体重は69キロ、,据史料记载，这位中国有名的美女，身高164厘米，体重可是有69公斤呢，,体重69キロ,体重69公斤,term,
66,ここは華清池の御湯遺跡博物館です、,这里是华清宫御汤遗址博物馆，,華清池の御湯遺跡博物館,华清宫御汤遗址博物馆,tour,
67,楊貴妃と玄宗皇帝の専用のお風呂の遺跡残されています、,杨贵妃和唐玄宗皇帝的 属温泉池遗址都保留下来了，,温泉池遺跡,属温泉池遗址,tour,
69,ここは海棠汤と呼ばれています、,这里称为海棠汤，,海棠汤,海棠汤,term,
70,全体の形は海棠の花のようにされています、,因整个温泉池的造型，就像一朵盛开的海棠花，,海棠の花,海棠花,cul,
71,楊貴妃専用のお風呂です。,是杨贵妃一人专用的汤池。,専用のお風呂,一人专用的汤池,term,
72,これは玄宗皇帝は楊貴妃にあげた貴重なプレゼント、,也是唐玄宗皇帝送给杨贵妃的珍贵的礼物，,貴重なプレゼント,珍贵的礼物,term,
73,玄宗皇帝の奥様三千美女いますけど、楊貴妃一人だけ寵愛されています。,真是后宫佳丽三千人，三千宠爱在一身啊。,三千美女,三千佳丽,cul,
76,玄宗皇帝専用のお風呂です、,这是玄宗皇帝的专用汤池，这里称为莲花汤。,莲花汤,莲花汤,term,
77,蓮華湯は玄宗皇帝専用のお風呂です、,真不愧是皇帝的汤池，,蓮華湯,蓮華湯,term,
78,大きいですね、勢いがあります、風呂みたい。,真是又大又有气势，大的像个游泳池一样。,風呂みたい,像个游泳池一样,term,
79,華清池の温泉の湯元は四つあります、,华千池的温泉泉眼有四个，,温泉の湯元,温泉泉眼,term,
79,華清池の温泉の湯元は四つあります、,华千池的温泉泉眼有四个，,四つ,四个,term,
80,この4つの湯元の流水量が一時間当たり112トン、温度は43℃、,一个小时的流水量达到112吨，温度43度，,流水量,流水量,term,
80,この4つの湯元の流水量が一時間当たり112トン、温度は43℃、,一个小时的流水量达到112吨，温度43度，,一時間当たり112トン,一个小时的流水量达到112吨,term,
80,この4つの湯元の流水量が一時間当たり112トン、温度は43℃、,一个小时的流水量达到112吨，温度43度，,温度は43℃,温度43度,term,
82,水質もいいです、,而且水质也很好，,水質,水质,term,
83,石灰、炭酸ナトリウム、硫酸ナトリウムも含まれています、,水里含有很多石灰，碳酸钠，硫酸钠等矿物，,石灰,石灰,term,
83,石灰、炭酸ナトリウム、硫酸ナトリウムも含まれています、,水里含有很多石灰，碳酸钠，硫酸钠等矿物，,炭酸ナトリウム,碳酸钠,term,
83,石灰、炭酸ナトリウム、硫酸ナトリウムも含まれています、,水里含有很多石灰，碳酸钠，硫酸钠等矿物，,硫酸ナトリウム,硫酸钠,term,
87,華清池は有名な温泉地ですから、,华清池是非常有名的温泉圣地，,温泉地,温泉圣地,tour,需人工确认
88,歴代の皇帝様、今の偉い方も、ここでお風呂入ったことがあります。,所以历代帝王，近代的一些大人物，也来此沐浴游玩。,歴代の皇帝,历代帝王,cul,
88,歴代の皇帝様、今の偉い方も、ここでお風呂入ったことがあります。,所以历代帝王，近代的一些大人物，也来此沐浴游玩。,偉い方,大人物,cul,需人工确认
90,中国現代史上の貴重な舞台でもあります。,也是中国近代史上的一个重要的历史舞台。,中国現代史,中国近代史,cul,
90,中国現代史上の貴重な舞台でもあります。,也是中国近代史上的一个重要的历史舞台。,貴重な舞台,重要的历史舞台,cul,需人工确认
